offset,PDemand Feature,Day1,Day2,Hour Index,Season1,Season2,Season3,Season4,TOD1,TOD2,TOD3,TOD4,TOD5,dewtemp,drytemp,humidity,precip,wind speed,Office y
1,0.235083448,1,0,0.072231512,0,0,0,1,1,0,0,0,0,-0.312783341,-0.9186230470000001,1.214583671,-0.163486338,-1.452963667,509
1,3.412711767,1,0,0.36115755899999996,0,0,1,0,1,0,0,0,0,1.703039774,1.8393433780000001,0.037217227,-0.163486338,-0.087401025,895
1,-0.595220218,0,1,-0.505620583,0,1,0,0,0,0,0,1,0,-0.8432631079999999,-1.6655722880000001,1.726482125,2.6035964430000003,2.097499203,390
1,-0.9323359929999999,1,0,-0.79454663,0,0,0,1,0,1,0,0,0,-0.8432631079999999,-1.148453583,0.24197660899999998,-0.163486338,0.45882403200000005,318
1,-0.114518096,1,0,-0.79454663,0,0,1,0,0,1,0,0,0,1.5438958440000001,1.4371399409999999,0.395546145,-0.163486338,-1.452963667,520
1,-0.39544790799999996,1,0,-0.505620583,1,0,0,0,0,0,0,1,0,0.695128216,0.402902531,0.6514953720000001,-0.163486338,0.18571150399999997,475
1,0.285026526,0,1,0.072231512,0,1,0,0,1,0,0,0,0,0.111600473,-0.573877244,1.572912589,0.842725583,-1.452963667,512
1,-0.869907146,0,1,-0.650083607,0,0,0,1,0,1,0,0,0,-1.214598945,-1.148453583,-0.6282507629999999,-0.163486338,-0.087401025,342
1,-0.12076098,1,0,0.21669453600000002,0,0,1,0,1,0,0,0,0,0.80122417,1.552055208,-1.088959372,-0.163486338,-1.452963667,452
1,0.478555952,1,0,0.650083607,0,1,0,0,1,0,0,0,0,-2.275558479,-0.9760806809999999,-2.266325816,-0.163486338,0.45882403200000005,502
1,-0.351747715,1,0,-0.939009654,0,0,1,0,0,1,0,0,0,0.7481761929999999,0.920021236,-0.269921846,-0.163486338,0.45882403200000005,452
1,-0.9635504159999999,1,0,-0.79454663,0,0,1,0,0,1,0,0,0,0.42988833299999996,0.28798726399999997,0.24197660899999998,-0.163486338,-0.087401025,317
1,2.80715195,1,0,0.505620583,0,0,1,0,1,0,0,0,0,1.27865596,1.379682307,-0.013972618999999999,-0.163486338,0.45882403200000005,944
1,2.90079522,1,0,0.650083607,0,0,1,0,1,0,0,0,0,0.9603681000000001,1.552055208,-0.88419999,-0.163486338,-1.452963667,928
